Board_Edges3_ID,Source,Target,Board,NAICS
1853,07KQDK-E,0641SC-E,Michigan Economic Development Corp.,813910
1860,06FWKW-E,0641SC-E,Michigan Economic Development Corp.,813910
1864,07KQGG-E,0641SC-E,Michigan Economic Development Corp.,813910
1863,07KQG2-E,0641SC-E,Michigan Economic Development Corp.,813910
1862,05F66B-E,0641SC-E,Michigan Economic Development Corp.,813910
1861,0BXRRC-E,0641SC-E,Michigan Economic Development Corp.,813910
1859,0BXRR5-E,0641SC-E,Michigan Economic Development Corp.,813910
1858,07KQFT-E,0641SC-E,Michigan Economic Development Corp.,813910
1857,0BXRQZ-E,0641SC-E,Michigan Economic Development Corp.,813910
1856,07KQF5-E,0641SC-E,Michigan Economic Development Corp.,813910
1865,06HQJG-E,0641SC-E,Michigan Economic Development Corp.,813910
1854,07KQDQ-E,0641SC-E,Michigan Economic Development Corp.,813910
1873,0BXRRG-E,0641SC-E,Michigan Economic Development Corp.,813910
1852,0BXRQT-E,0641SC-E,Michigan Economic Development Corp.,813910
1855,05JRBG-E,0641SC-E,Michigan Economic Development Corp.,813910
1874,07KQBY-E,0641SC-E,Michigan Economic Development Corp.,813910
1883,07KQF8-E,0641SC-E,Michigan Economic Development Corp.,813910
1882,07KQF6-E,0641SC-E,Michigan Economic Development Corp.,813910
1881,07KQF1-E,0641SC-E,Michigan Economic Development Corp.,813910
1880,07KQDX-E,0641SC-E,Michigan Economic Development Corp.,813910
1878,0B5TP4-E,0641SC-E,Michigan Economic Development Corp.,813910
1877,07KQC8-E,0641SC-E,Michigan Economic Development Corp.,813910
1871,07KQBT-E,0641SC-E,Michigan Economic Development Corp.,813910
1875,05G1QB-E,0641SC-E,Michigan Economic Development Corp.,813910
1866,07KQ80-E,0641SC-E,Michigan Economic Development Corp.,813910
1849,0048HY-E,0641SC-E,Michigan Economic Development Corp.,813910
1872,07KQBV-E,0641SC-E,Michigan Economic Development Corp.,813910
1870,07KQBP-E,0641SC-E,Michigan Economic Development Corp.,813910
1869,07KQ8R-E,0641SC-E,Michigan Economic Development Corp.,813910
1868,07KQ8J-E,0641SC-E,Michigan Economic Development Corp.,813910
1867,07KQ86-E,0641SC-E,Michigan Economic Development Corp.,813910
1876,06DRX3-E,0641SC-E,Michigan Economic Development Corp.,813910
1825,07KQ9K-E,0641SC-E,Michigan Economic Development Corp.,813910
1851,0BWCLT-E,0641SC-E,Michigan Economic Development Corp.,813910
1816,05FC14-E,0641SC-E,Michigan Economic Development Corp.,813910
1817,05FHBZ-E,0641SC-E,Michigan Economic Development Corp.,813910
1818,07KQ8C-E,0641SC-E,Michigan Economic Development Corp.,813910
1835,0BXRQ2-E,0641SC-E,Michigan Economic Development Corp.,813910
1819,07KQ8K-E,0641SC-E,Michigan Economic Development Corp.,813910
1820,07KQQJ-E,0641SC-E,Michigan Economic Development Corp.,813910
1821,0BXRP8-E,0641SC-E,Michigan Economic Development Corp.,813910
1822,0B5F3W-E,0641SC-E,Michigan Economic Development Corp.,813910
1814,05DV5D-E,0641SC-E,Michigan Economic Development Corp.,813910
1824,07KQ9F-E,0641SC-E,Michigan Economic Development Corp.,813910
1813,07KQ73-E,0641SC-E,Michigan Economic Development Corp.,813910
1826,0780V9-E,0641SC-E,Michigan Economic Development Corp.,813910
1827,0BXRPW-E,0641SC-E,Michigan Economic Development Corp.,813910
1828,07KQCZ-E,0641SC-E,Michigan Economic Development Corp.,813910
1829,0BXRPY-E,0641SC-E,Michigan Economic Development Corp.,813910
1830,05HP9S-E,0641SC-E,Michigan Economic Development Corp.,813910
1831,07KQDH-E,0641SC-E,Michigan Economic Development Corp.,813910
1832,07KQQF-E,0641SC-E,Michigan Economic Development Corp.,813910
1833,007DXV-E,0641SC-E,Michigan Economic Development Corp.,813910
1834,0BXRPZ-E,0641SC-E,Michigan Economic Development Corp.,813910
1823,0B5TNJ-E,0641SC-E,Michigan Economic Development Corp.,813910
1838,0B21SG-E,0641SC-E,Michigan Economic Development Corp.,813910
1879,07KQDR-E,0641SC-E,Michigan Economic Development Corp.,813910
1848,07KQJ0-E,0641SC-E,Michigan Economic Development Corp.,813910
1847,07KQHV-E,0641SC-E,Michigan Economic Development Corp.,813910
1846,07KQHH-E,0641SC-E,Michigan Economic Development Corp.,813910
1845,07KQHD-E,0641SC-E,Michigan Economic Development Corp.,813910
1844,07KQH8-E,0641SC-E,Michigan Economic Development Corp.,813910
1843,07KQH0-E,0641SC-E,Michigan Economic Development Corp.,813910
1842,0BXRQL-E,0641SC-E,Michigan Economic Development Corp.,813910
1841,07KQGW-E,0641SC-E,Michigan Economic Development Corp.,813910
1815,07KQ7L-E,0641SC-E,Michigan Economic Development Corp.,813910
1839,0BXRQB-E,0641SC-E,Michigan Economic Development Corp.,813910
1850,0B1K9V-E,0641SC-E,Michigan Economic Development Corp.,813910
1837,07KQF9-E,0641SC-E,Michigan Economic Development Corp.,813910
