Board_Edges3_ID,Person_Id,Business_Id,Board,NAICS,NAICS3
943,06862H-E,064G97-E,Cooperative Elevator Co.,111191,111
942,06862B-E,064G97-E,Cooperative Elevator Co.,111191,111
941,068621-E,064G97-E,Cooperative Elevator Co.,111191,111
1303,09YH4Y-E,0CP4LK-E,Naturipe Foods LLC,111334,111
9,05KCGX-E,49302610,"Keweenaw Land Association, Limited",111421,111
10,05KCGY-E,49302610,"Keweenaw Land Association, Limited",111421,111
11,05KCH2-E,49302610,"Keweenaw Land Association, Limited",111421,111
12,074WW0-E,49302610,"Keweenaw Land Association, Limited",111421,111
13,09Z3FZ-E,49302610,"Keweenaw Land Association, Limited",111421,111
1661,001HRC-E,05MN4C-E,"Zelenka Nursery, Inc.",111421,111
931,05WS0V-E,062Z7R-E,Emerald BioAgriculture Corp.,112519,112
930,066WQB-E,062Z7R-E,Emerald BioAgriculture Corp.,112519,112
2599,0B1PKQ-E,000JBN-E,"ESELCO, Inc.",221111,221
2600,0B4SRC-E,000JBN-E,"ESELCO, Inc.",221111,221
2602,0B4SR4-E,000JBN-E,"ESELCO, Inc.",221111,221
2601,0B4RL2-E,000JBN-E,"ESELCO, Inc.",221111,221
27,05DV59-E,12589610,CMS Energy Corporation,221112,221
28,004ZG1-E,12589610,CMS Energy Corporation,221112,221
29,05FD34-E,12589610,CMS Energy Corporation,221112,221
30,006PWY-E,12589610,CMS Energy Corporation,221112,221
36,05F3XY-E,12589610,CMS Energy Corporation,221112,221
31,05FHQP-E,12589610,CMS Energy Corporation,221112,221
35,00663S-E,12589610,CMS Energy Corporation,221112,221
32,05FN44-E,12589610,CMS Energy Corporation,221112,221
33,0048J5-E,12589610,CMS Energy Corporation,221112,221
34,05DYVT-E,12589610,CMS Energy Corporation,221112,221
2620,005GN5-E,000HHY-E,DTE Electric Company,221112,221
2618,003LJM-E,000HHY-E,DTE Electric Company,221112,221
2619,0880HB-E,000HHY-E,DTE Electric Company,221112,221
26,05DYVW-E,23333110,DTE Energy Company,221112,221
23,0056X4-E,23333110,DTE Energy Company,221112,221
15,05HRSN-E,23333110,DTE Energy Company,221112,221
19,003LJM-E,23333110,DTE Energy Company,221112,221
21,004Z39-E,23333110,DTE Energy Company,221112,221
20,006BTC-E,23333110,DTE Energy Company,221112,221
16,06QFB1-E,23333110,DTE Energy Company,221112,221
17,002PL0-E,23333110,DTE Energy Company,221112,221
24,05DYJV-E,23333110,DTE Energy Company,221112,221
