Source,Target,Board
05DXM8-E,74586710,"PulteGroup, Inc."
05FF82-E,74586710,"PulteGroup, Inc."
05JY1J-E,74586710,"PulteGroup, Inc."
05DW00-E,74586710,"PulteGroup, Inc."
00788Q-E,74586710,"PulteGroup, Inc."
005740-E,74586710,"PulteGroup, Inc."
05DY9J-E,74586710,"PulteGroup, Inc."
05F093-E,74586710,"PulteGroup, Inc."
05KCGX-E,49302610,"Keweenaw Land Association, Limited"
05KCGY-E,49302610,"Keweenaw Land Association, Limited"
05KCH2-E,49302610,"Keweenaw Land Association, Limited"
074WW0-E,49302610,"Keweenaw Land Association, Limited"
09Z3FZ-E,49302610,"Keweenaw Land Association, Limited"
05DYH7-E,23333110,DTE Energy Company
05HRSN-E,23333110,DTE Energy Company
06QFB1-E,23333110,DTE Energy Company
002PL0-E,23333110,DTE Energy Company
004N6S-E,23333110,DTE Energy Company
003LJM-E,23333110,DTE Energy Company
006BTC-E,23333110,DTE Energy Company
004Z39-E,23333110,DTE Energy Company
05DYHJ-E,23333110,DTE Energy Company
0056X4-E,23333110,DTE Energy Company
05DYJV-E,23333110,DTE Energy Company
05FKMF-E,23333110,DTE Energy Company
05DYVW-E,23333110,DTE Energy Company
05DV59-E,12589610,CMS Energy Corporation
004ZG1-E,12589610,CMS Energy Corporation
05FD34-E,12589610,CMS Energy Corporation
006PWY-E,12589610,CMS Energy Corporation
05FHQP-E,12589610,CMS Energy Corporation
05FN44-E,12589610,CMS Energy Corporation
0048J5-E,12589610,CMS Energy Corporation
05DYVT-E,12589610,CMS Energy Corporation
00663S-E,12589610,CMS Energy Corporation
05F3XY-E,12589610,CMS Energy Corporation
0DVHPX-E,46568510,ITC Holdings Corp.
0091GM-E,46568510,ITC Holdings Corp.
05F1YZ-E,46568510,ITC Holdings Corp.
006VN4-E,46568510,ITC Holdings Corp.
06LHDC-E,46568510,ITC Holdings Corp.
05F5YF-E,46568510,ITC Holdings Corp.
0047YW-E,46568510,ITC Holdings Corp.
008HPC-E,46568510,ITC Holdings Corp.
05G1C9-E,46568510,ITC Holdings Corp.
0D53PC-E,39304L10,"Cirque Energy, Inc."
0D9P7R-E,39304L10,"Cirque Energy, Inc."
0C50JS-E,39304L10,"Cirque Energy, Inc."
0D1CB3-E,39304L10,"Cirque Energy, Inc."
07LSQ8-E,58153110,"Mckenzie Bay International, Ltd."
0C3RD8-E,58153110,"Mckenzie Bay International, Ltd."
07LSQ0-E,58153110,"Mckenzie Bay International, Ltd."
0CVCTS-E,37045V10,General Motors Company
072JQR-E,37045V10,General Motors Company
05DV6F-E,37045V10,General Motors Company
05KS15-E,37045V10,General Motors Company
05JXMH-E,37045V10,General Motors Company
06DZFC-E,37045V10,General Motors Company
0CZPBS-E,37045V10,General Motors Company
05F1C6-E,37045V10,General Motors Company
05DV67-E,37045V10,General Motors Company
05DV4H-E,37045V10,General Motors Company
05HGVZ-E,37045V10,General Motors Company
05GBQ9-E,34537086,Ford Motor Company
00597J-E,34537086,Ford Motor Company
05DYHB-E,34537086,Ford Motor Company
0CGW9T-E,34537086,Ford Motor Company
05G672-E,34537086,Ford Motor Company
0075XR-E,34537086,Ford Motor Company
002VRT-E,34537086,Ford Motor Company
05DXRJ-E,34537086,Ford Motor Company
05HDM4-E,34537086,Ford Motor Company
0CCGLK-E,34537086,Ford Motor Company
05DZ51-E,34537086,Ford Motor Company
05FBKD-E,34537086,Ford Motor Company
05FQV8-E,34537086,Ford Motor Company
05F5TN-E,34537086,Ford Motor Company
